classe,novo_nome,arquivo_original,pasta_original,md5,copias_no_dataset_original,no_amostra_github
normal,normal_001.jpg,Normal(10).jpg,Normal Person ECG Images (284x12=3408),b18d5b137b4fbba22e981466a875216e,2,sim
normal,normal_002.jpg,Normal(115).jpg,Normal Person ECG Images (284x12=3408),f60ed121021f3c35683e2fe4275567ca,2,sim
normal,normal_003.jpg,Normal(126).jpg,Normal Person ECG Images (284x12=3408),646047690c859e81251539f56f7e26c8,2,sim
normal,normal_004.jpg,Normal(128).jpg,Normal Person ECG Images (284x12=3408),910fee7e970a917e07bc4308db4f29fc,2,sim
normal,normal_005.jpg,Normal(133).jpg,Normal Person ECG Images (284x12=3408),f08845dcb58ccc7b2365b12c01eed079,2,nao
normal,normal_006.jpg,Normal(134).jpg,Normal Person ECG Images (284x12=3408),05c4b3a2f46fc244f8fddd4f2e1fa5d1,2,nao
normal,normal_007.jpg,Normal(137).jpg,Normal Person ECG Images (284x12=3408),cd28ac5b71163f8c454e0a9bd2f884b1,2,nao
normal,normal_008.jpg,Normal(146).jpg,Normal Person ECG Images (284x12=3408),22ac9357cb45f693e6118fa1a85d03c4,2,nao
normal,normal_009.jpg,Normal(161).jpg,Normal Person ECG Images (284x12=3408),1a6ee756c3409e19da8123897c34beb7,2,nao
normal,normal_010.jpg,Normal(163).jpg,Normal Person ECG Images (284x12=3408),395903406aa651681a056214446dfc86,2,nao
normal,normal_011.jpg,Normal(166).jpg,Normal Person ECG Images (284x12=3408),9d4fb5c3cd535e51d27d0f894597fb5e,2,nao
normal,normal_012.jpg,Normal(174).jpg,Normal Person ECG Images (284x12=3408),f7ca7ee23eb7cb5a35da134523fc9a15,2,nao
normal,normal_013.jpg,Normal(182).jpg,Normal Person ECG Images (284x12=3408),9409cf8bc417bbe99ac881175d36a839,2,nao
normal,normal_014.jpg,Normal(184).jpg,Normal Person ECG Images (284x12=3408),8e136933cf8c41b55584e98efd3b7e2d,2,nao
normal,normal_015.jpg,Normal(194).jpg,Normal Person ECG Images (284x12=3408),eebb58bef3650e5366acc0e7061552c2,2,nao
normal,normal_016.jpg,Normal(195).jpg,Normal Person ECG Images (284x12=3408),9a2da2bc2ed9ead7de4632f9bbfbefe4,2,nao
normal,normal_017.jpg,Normal(200).jpg,Normal Person ECG Images (284x12=3408),f71fe3579f00a6f47edeec5aa33b9a5e,2,nao
normal,normal_018.jpg,Normal(204).jpg,Normal Person ECG Images (284x12=3408),ff0496a79c5b6467e19367f8e59057bb,2,nao
normal,normal_019.jpg,Normal(205).jpg,Normal Person ECG Images (284x12=3408),e3cda8b6ccb3de46ba36abe157f778e7,2,nao
normal,normal_020.jpg,Normal(213).jpg,Normal Person ECG Images (284x12=3408),ba9dbca04aa9a3a5211b5c003d737282,2,nao
normal,normal_021.jpg,Normal(218).jpg,Normal Person ECG Images (284x12=3408),b1150afe5d153d05a63f2b1498023135,2,nao
normal,normal_022.jpg,Normal(219).jpg,Normal Person ECG Images (284x12=3408),4dacf9629d13c5810c1c9df9c96464c6,2,nao
normal,normal_023.jpg,Normal(220).jpg,Normal Person ECG Images (284x12=3408),6141f0885f61fe8c43234963894ec9ff,2,nao
normal,normal_024.jpg,Normal(224).jpg,Normal Person ECG Images (284x12=3408),2708b0c0e13bde66a67e51e1c6a9b7df,2,nao
normal,normal_025.jpg,Normal(227).jpg,Normal Person ECG Images (284x12=3408),08a60ed2d11fcb88a9252fee8441ae77,2,nao
normal,normal_026.jpg,Normal(228).jpg,Normal Person ECG Images (284x12=3408),8df37dc91de7860244e5a07d18f971f0,2,nao
normal,normal_027.jpg,Normal(229).jpg,Normal Person ECG Images (284x12=3408),f1c24f6c89f6a5dd15c6a4b7cfba5567,2,nao
normal,normal_028.jpg,Normal(231).jpg,Normal Person ECG Images (284x12=3408),b854939f97f4f842256852fd8aa4cffb,2,nao
normal,normal_029.jpg,Normal(234).jpg,Normal Person ECG Images (284x12=3408),e98bc0c58ab4464ebc5c825e4940f743,2,nao
normal,normal_030.jpg,Normal(238).jpg,Normal Person ECG Images (284x12=3408),03713b3503588f7d2419efb43ca5da88,2,nao
infarto_miocardio,infarto_miocardio_001.jpg,MI(1).jpg,ECG Images of Myocardial Infarction Patients (240x12=2880),bfec4d7750785b6eabd82d73409c4653,8,sim
infarto_miocardio,infarto_miocardio_002.jpg,MI(10).jpg,ECG Images of Myocardial Infarction Patients (240x12=2880),d300b946e3a4187dd290674bec105cbf,8,sim
infarto_miocardio,infarto_miocardio_003.jpg,MI(101).jpg,ECG Images of Myocardial Infarction Patients (240x12=2880),174ca9e3206bc5b82adc4cba26510b0f,8,sim
infarto_miocardio,infarto_miocardio_004.jpg,MI(102).jpg,ECG Images of Myocardial Infarction Patients (240x12=2880),087229a165c30dbe751567393acfc610,8,sim
infarto_miocardio,infarto_miocardio_005.jpg,MI(103).jpg,ECG Images of Myocardial Infarction Patients (240x12=2880),3a38287b840c8e3e2fcd079a250bb6d5,8,nao
infarto_miocardio,infarto_miocardio_006.jpg,MI(104).jpg,ECG Images of Myocardial Infarction Patients (240x12=2880),8af63dc8003a1a67d5b29173a5ee8e75,8,nao
infarto_miocardio,infarto_miocardio_007.jpg,MI(105).jpg,ECG Images of Myocardial Infarction Patients (240x12=2880),a64b8ae903153342ee785750f01a31d2,8,nao
infarto_miocardio,infarto_miocardio_008.jpg,MI(106).jpg,ECG Images of Myocardial Infarction Patients (240x12=2880),357b8f3a0f7a5414b4206d214d220bd8,8,nao
infarto_miocardio,infarto_miocardio_009.jpg,MI(107).jpg,ECG Images of Myocardial Infarction Patients (240x12=2880),4a574129f52584fbed342b7fa1fa060c,8,nao
infarto_miocardio,infarto_miocardio_010.jpg,MI(108).jpg,ECG Images of Myocardial Infarction Patients (240x12=2880),8c6159cd4acf274d607bfae730daafdb,8,nao
infarto_miocardio,infarto_miocardio_011.jpg,MI(109).jpg,ECG Images of Myocardial Infarction Patients (240x12=2880),86851808326a77d7d7ef3ed606d1d49f,8,nao
infarto_miocardio,infarto_miocardio_012.jpg,MI(110).jpg,ECG Images of Myocardial Infarction Patients (240x12=2880),c51345c43265514acaae0395ae50728b,8,nao
infarto_miocardio,infarto_miocardio_013.jpg,MI(111).jpg,ECG Images of Myocardial Infarction Patients (240x12=2880),8acc9972486faa37d78749bdf77c9fbe,8,nao
infarto_miocardio,infarto_miocardio_014.jpg,MI(112).jpg,ECG Images of Myocardial Infarction Patients (240x12=2880),cb11b87d5c8b6555736a350d6b15f729,8,nao
infarto_miocardio,infarto_miocardio_015.jpg,MI(113).jpg,ECG Images of Myocardial Infarction Patients (240x12=2880),82526f280cb412455887b70bc84d2e69,8,nao
infarto_miocardio,infarto_miocardio_016.jpg,MI(114).jpg,ECG Images of Myocardial Infarction Patients (240x12=2880),66f577a28d75cebade6afbdb909048d1,8,nao
infarto_miocardio,infarto_miocardio_017.jpg,MI(115).jpg,ECG Images of Myocardial Infarction Patients (240x12=2880),c2318c32a517086f973c01cddda6491d,8,nao
infarto_miocardio,infarto_miocardio_018.jpg,MI(116).jpg,ECG Images of Myocardial Infarction Patients (240x12=2880),4adcd32892713c76e95efe785a00f55d,8,nao
infarto_miocardio,infarto_miocardio_019.jpg,MI(117).jpg,ECG Images of Myocardial Infarction Patients (240x12=2880),d38c90474f1952763ab96e2c7c72d7c3,8,nao
infarto_miocardio,infarto_miocardio_020.jpg,MI(118).jpg,ECG Images of Myocardial Infarction Patients (240x12=2880),2624244d1163989297ef612b3ce2f3c4,8,nao
infarto_miocardio,infarto_miocardio_021.jpg,MI(119).jpg,ECG Images of Myocardial Infarction Patients (240x12=2880),9247e376a5fd059e99b93109fec04de1,8,nao
infarto_miocardio,infarto_miocardio_022.jpg,MI(120).jpg,ECG Images of Myocardial Infarction Patients (240x12=2880),f71287b62868b8011c99d301b8468ede,8,nao
infarto_miocardio,infarto_miocardio_023.jpg,MI(122).jpg,ECG Images of Myocardial Infarction Patients (240x12=2880),f9771d2375d11303ce5865ccac1dde6d,8,nao
infarto_miocardio,infarto_miocardio_024.jpg,MI(123).jpg,ECG Images of Myocardial Infarction Patients (240x12=2880),229034a13adffabeef6e8b2a461ad3b5,8,nao
infarto_miocardio,infarto_miocardio_025.jpg,MI(124).jpg,ECG Images of Myocardial Infarction Patients (240x12=2880),bfaf8e018863a8ef037b163615c2d80a,8,nao
infarto_miocardio,infarto_miocardio_026.jpg,MI(125).jpg,ECG Images of Myocardial Infarction Patients (240x12=2880),d35ee6873ebdac348484e46fe50883ed,7,nao
infarto_miocardio,infarto_miocardio_027.jpg,MI(126).jpg,ECG Images of Myocardial Infarction Patients (240x12=2880),2675f7f8d45a233db991b44c9ba3fd50,8,nao
infarto_miocardio,infarto_miocardio_028.jpg,MI(127).jpg,ECG Images of Myocardial Infarction Patients (240x12=2880),b8937148cd5687da9c566f16331bf458,8,nao
infarto_miocardio,infarto_miocardio_029.jpg,MI(128).jpg,ECG Images of Myocardial Infarction Patients (240x12=2880),d2311e22cfa306863c38b52fc593a261,8,nao
infarto_miocardio,infarto_miocardio_030.jpg,MI(129).jpg,ECG Images of Myocardial Infarction Patients (240x12=2880),e89aa842c65ab4a009c1e6f5bffeb62a,8,nao
arritmia,arritmia_001.jpg,HB(101).jpg,ECG Images of Patient that have abnormal heartbeat (233x12=2796),8310f13dbe9897a607df21a4169f7583,1,sim
arritmia,arritmia_002.jpg,HB(119).jpg,ECG Images of Patient that have abnormal heartbeat (233x12=2796),fe3a058919f1fa8557208d301c1803ee,1,sim
arritmia,arritmia_003.jpg,HB(13).jpg,ECG Images of Patient that have abnormal heartbeat (233x12=2796),abc996bd88a8b8034badeb60953af8a0,1,sim
arritmia,arritmia_004.jpg,HB(138).jpg,ECG Images of Patient that have abnormal heartbeat (233x12=2796),fa459a4306c169e81254b56ec7763721,1,sim
arritmia,arritmia_005.jpg,HB(147).jpg,ECG Images of Patient that have abnormal heartbeat (233x12=2796),1e65b89a11f06296288b3064d39d53b4,1,nao
arritmia,arritmia_006.jpg,HB(149).jpg,ECG Images of Patient that have abnormal heartbeat (233x12=2796),25c3109f613e7dc14689f42c7e984b15,1,nao
arritmia,arritmia_007.jpg,HB(160).jpg,ECG Images of Patient that have abnormal heartbeat (233x12=2796),5ebb3f4d9cd51e2763792e57ff900bb9,1,nao
arritmia,arritmia_008.jpg,HB(167).jpg,ECG Images of Patient that have abnormal heartbeat (233x12=2796),add4235cda82b4342c037f50f9971ae0,1,nao
arritmia,arritmia_009.jpg,HB(168).jpg,ECG Images of Patient that have abnormal heartbeat (233x12=2796),a78b9a2c3a0059fa0bfa93ac65dc6ae3,1,nao
arritmia,arritmia_010.jpg,HB(172).jpg,ECG Images of Patient that have abnormal heartbeat (233x12=2796),ee8240eeaec91e8b811a74ab3c608399,1,nao
arritmia,arritmia_011.jpg,HB(181).jpg,ECG Images of Patient that have abnormal heartbeat (233x12=2796),ddc37391d9583cb411550c354d5cec49,1,nao
arritmia,arritmia_012.jpg,HB(189).jpg,ECG Images of Patient that have abnormal heartbeat (233x12=2796),abcaa8d8f82cc3325dc9e73dda7de4d6,1,nao
arritmia,arritmia_013.jpg,HB(203).jpg,ECG Images of Patient that have abnormal heartbeat (233x12=2796),325d05ed7b9992dbba5be1fb148bfff4,1,nao
arritmia,arritmia_014.jpg,HB(204).jpg,ECG Images of Patient that have abnormal heartbeat (233x12=2796),834791701a00b3f15e5824836753aea1,1,nao
arritmia,arritmia_015.jpg,HB(209).jpg,ECG Images of Patient that have abnormal heartbeat (233x12=2796),a8f614c1c7bf677fd04799996bd560da,1,nao
arritmia,arritmia_016.jpg,HB(212).jpg,ECG Images of Patient that have abnormal heartbeat (233x12=2796),93a6beb3b64f56d8a6550665aae59414,1,nao
arritmia,arritmia_017.jpg,HB(214).jpg,ECG Images of Patient that have abnormal heartbeat (233x12=2796),a2d339c5b6d0b75e798ba4645b9f4e62,1,nao
arritmia,arritmia_018.jpg,HB(228).jpg,ECG Images of Patient that have abnormal heartbeat (233x12=2796),f685c57f478957a1bcee116ef770e6e0,1,nao
arritmia,arritmia_019.jpg,HB(233).jpg,ECG Images of Patient that have abnormal heartbeat (233x12=2796),44199dfc57739663b6f60f9390cd9a2a,1,nao
arritmia,arritmia_020.jpg,HB(30).jpg,ECG Images of Patient that have abnormal heartbeat (233x12=2796),d16fc14288aa296ac86209e05d1db2a2,1,nao
arritmia,arritmia_021.jpg,HB(37).jpg,ECG Images of Patient that have abnormal heartbeat (233x12=2796),6b38edd031b0779e9854ddccb99c4966,1,nao
arritmia,arritmia_022.jpg,HB(4).jpg,ECG Images of Patient that have abnormal heartbeat (233x12=2796),305d87fcb0ef304a3d1a6f8626d94e23,1,nao
arritmia,arritmia_023.jpg,HB(52).jpg,ECG Images of Patient that have abnormal heartbeat (233x12=2796),3d5eaddd753b9ff3aac4d25044290693,1,nao
arritmia,arritmia_024.jpg,HB(59).jpg,ECG Images of Patient that have abnormal heartbeat (233x12=2796),1e1db9642d3c83d81055851b5651c695,1,nao
arritmia,arritmia_025.jpg,HB(67).jpg,ECG Images of Patient that have abnormal heartbeat (233x12=2796),8ab30066c448541dc2d6888c4138c6b6,1,nao
arritmia,arritmia_026.jpg,HB(72).jpg,ECG Images of Patient that have abnormal heartbeat (233x12=2796),48d8b68816dab373032c1677d81f8efc,1,nao
arritmia,arritmia_027.jpg,HB(84).jpg,ECG Images of Patient that have abnormal heartbeat (233x12=2796),1b86e43096a5d391f1eaac1263f349a2,1,nao
arritmia,arritmia_028.jpg,HB(89).jpg,ECG Images of Patient that have abnormal heartbeat (233x12=2796),194bf67c0cc5c3d5480ddbc7808154ed,1,nao
arritmia,arritmia_029.jpg,HB(9).jpg,ECG Images of Patient that have abnormal heartbeat (233x12=2796),070dda85d93fe815e8b4f0d34114623b,1,nao
arritmia,arritmia_030.jpg,HB(98).jpg,ECG Images of Patient that have abnormal heartbeat (233x12=2796),1ba84a08de47c46e82cff51b0740e24f,1,nao
historico_infarto,historico_infarto_001.jpg,PMI(101).jpg,ECG Images of Patient that have History of MI (172x12=2064),42d7c7ca50c23d83cb6ccf1dc1745e1c,2,sim
historico_infarto,historico_infarto_002.jpg,PMI(105).jpg,ECG Images of Patient that have History of MI (172x12=2064),e31d50a0063962ab4c5532ff003ad18b,2,sim
historico_infarto,historico_infarto_003.jpg,PMI(120).jpg,ECG Images of Patient that have History of MI (172x12=2064),7744fb5a62fa86750b055e82f05cd48e,2,sim
historico_infarto,historico_infarto_004.jpg,PMI(121).jpg,ECG Images of Patient that have History of MI (172x12=2064),cc863a638ab5e6c13c3d5b940b8168bf,2,sim
historico_infarto,historico_infarto_005.jpg,PMI(124).jpg,ECG Images of Patient that have History of MI (172x12=2064),59610aef0e3d90b09e538464a3f74332,2,nao
historico_infarto,historico_infarto_006.jpg,PMI(125).jpg,ECG Images of Patient that have History of MI (172x12=2064),6b8eed5b97a304e152380aa7647913fe,2,nao
historico_infarto,historico_infarto_007.jpg,PMI(126).jpg,ECG Images of Patient that have History of MI (172x12=2064),89d63a1bd95a266d8e57199b3a20c328,2,nao
historico_infarto,historico_infarto_008.jpg,PMI(127).jpg,ECG Images of Patient that have History of MI (172x12=2064),0e0d0c48dc64c3f471918c19fcf12c99,2,nao
historico_infarto,historico_infarto_009.jpg,PMI(13).jpg,ECG Images of Patient that have History of MI (172x12=2064),9312938b999d7c27c25f24304ee3c475,2,nao
historico_infarto,historico_infarto_010.jpg,PMI(131).jpg,ECG Images of Patient that have History of MI (172x12=2064),c8deacfe2ea4e06924adcde64b5350ca,2,nao
historico_infarto,historico_infarto_011.jpg,PMI(132).jpg,ECG Images of Patient that have History of MI (172x12=2064),c5a92705b9e53d90a06e1af7d9a38b5f,2,nao
historico_infarto,historico_infarto_012.jpg,PMI(133).jpg,ECG Images of Patient that have History of MI (172x12=2064),74f99d881b3dc8c320cfb07709c0cb53,2,nao
historico_infarto,historico_infarto_013.jpg,PMI(141).jpg,ECG Images of Patient that have History of MI (172x12=2064),baa94db099095523358be03159903f56,2,nao
historico_infarto,historico_infarto_014.jpg,PMI(146).jpg,ECG Images of Patient that have History of MI (172x12=2064),7ac742390a252924bb82ca6b052cca40,2,nao
historico_infarto,historico_infarto_015.jpg,PMI(147).jpg,ECG Images of Patient that have History of MI (172x12=2064),4f1876693f20812583730f64b5f87ae4,2,nao
